"description","neighborhood_overview","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_neighbourhood","host_listings_count","host_total_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","neighbourhood_group_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms","bedrooms","beds","amenities","price","minimum_nights","maximum_nights","has_availability","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","reviews_per_month"
"Good things come in small packages! Cozy Downtown crash pad! This is a great place to hang your hat! If you are looking for an affordable accommodation in a prime location- this is the place for you!<br /><br />-double bed<br />-private unit<br />-private bathroom<br />- bar fridge, coffee maker<br />-Wifi","","within an hour","99%","92%","f","Downtown",67,67,"t","t","Somerset",NA,45.40684,-75.70436,"Entire apartment","Entire home/apt",2,NA,NA,0,"[""Essentials"", ""Keypad"", ""Wifi"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Smoke alarm""]","$39.00",4,1125,"t",1,1,1,"2021-01-16","2021-01-16",20,2,2,6,8,4,4,"f",65,58,7,1
"Huge 1 bedroom apartment with big windows and a lot of daylight. Washer and dryer on site in the apartment.<br />5 minute walk from<br />Byward Market. Across the street from all the embassies.<br />Looking for highly responsible tenant(s) - max 2 people. No kids. No pets.<br />Fully furnished. Available between February to June. Please contact as we are flexible on dates but looking for long term stay.","","a few days or more","100%","0%","f","Byward Market - Parliament Hill",1,1,"t","t","Rideau-Vanier",NA,45.43246,-75.69822,"Entire apartment","Entire home/apt",2,NA,1,1,"[""Essentials"", ""TV"", ""Washer"", ""Dryer"", ""Wifi"", ""Private entrance"", ""Heating"", ""Long term stays allowed"", ""Hangers"", ""Smoke alarm"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace""]","$63.00",90,1125,"t",0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,"f",1,1,0,NA
"Central location, easy access to highway, minutes to popular places like; Chinatown, Rideau Canal, downtown, Westboro, Algonquin and University of Ottawa and much more.<br /><br /><b>The space</b><br />Newly renovated apartment is spacious and clean.  Suitable for big family or group stay. Please note, there will only be one room provided per two guests unless otherwise requested by guests!<br /><br /><b>Guest access</b><br />Front entrance","Close to central park neighborhood.","within an hour","100%","75%","f","Carlington",0,0,"t","t","River",NA,45.38099,-75.73235,"Entire apartment","Entire home/apt",14,NA,6,7,"[""Essentials"", ""Hair dryer"", ""Washer"", ""Dryer"", ""Wifi"", ""Private entrance"", ""Heating"", ""Iron"", ""Long term stays allowed"", ""Shampoo"", ""Smoke alarm"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm""]","$98.00",1,1125,"t",0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,"t",1,1,0,NA
"Cozy 1 bedroom loft near Dows lake and Little Italy<br />Highlighted features include<br />- professionally designed with your comfort in mind<br />- Speedy wifi<br />- free Parking <br />- queen sized bed <br />- fully equipped kitchen<br />- fresh linens and towels provided for all guests<br />- Coin operated Laundry in the basement<br /><br /><b>Other things to note</b><br />Please note parking laneway is very tight. Best suited for small  sized cars","You are seconds away from the best restaurants and shops that Little Italy has to offer!","within an hour","99%","92%","f","Downtown",67,67,"t","t","Kitchissippi",NA,45.39836,-75.71038,"Entire loft","Entire home/apt",2,NA,1,1,"[""Essentials"", ""Coffee maker"", ""Wifi"", ""Private entrance"", ""Heating"", ""Free parking on premises"", ""Long term stays allowed"", ""Shampoo"", ""Lockbox"", ""Smoke alarm"", ""Kitchen""]","$57.00",5,1125,"t",1,1,0,"2020-12-27","2020-12-27",20,4,6,6,8,10,2,"f",65,58,7,0.61
"Cozy 1 bedroom near Little Italy. Close to a lot of attractions, restaurants etc<br />Highlighted features include<br />- professionally designed with your comfort in mind<br />- Speedy wifi<br />-free parking <br />- queen sized bed <br />- fully equipped kitchen<br />- fresh linens and towels provided for all guests<br />-main floor apartment<br />- Coin operated laundry in the basement<br /><br /><b>Other things to note</b><br />Please note parking laneway is very tight. Best suited for small  sized cars","You are seconds away from the best restaurants and shops that Little Italy has to offer!","within an hour","99%","92%","f","Downtown",67,67,"t","t","Somerset",NA,45.3998,-75.71049,"Entire apartment","Entire home/apt",2,NA,1,1,"[""Essentials"", ""Wifi"", ""Heating"", ""Free parking on premises"", ""Long term stays allowed"", ""Shampoo"", ""Lockbox"", ""Smoke alarm"", ""Kitchen""]","$69.00",3,1125,"t",1,1,1,"2021-01-29","2021-01-29",80,6,6,8,10,10,6,"f",65,58,7,1
"This brand new and uniquely designed apartment is a short walk from Ottawa's best restaurants, shops, and entertainment in the Byward Market. While located in the heart of downtown Ottawa, this apartment is tucked away in a residential and family filled neighborhood.<br /><br />The unit features a large bedroom, a kitchen, a den with a sofa bed, a dining area, and two 55” smart TVs. The kitchen is fully equipped for cooking, and even features complimentary coffee.<br /><br />Should you drive in, a paid parking lot can be found just a 2 minute walk away for the low price of $10/day.<br /><br /><b>The space</b><br />This modern 1-bed apartment is brand new, with air conditioning/heating, new furniture, a fully equipped kitchen, and a stylish bathroom. You'll enjoy all the comforts of home while enjoying  the benefits of being in such a central downtown location.<br /><br />The Queen bed and the sofa bed are very comfortable and the 55"" smart TVs come with Netflix preloaded. We also have ","The apartment is minutes away from the Byward Market, with easy access to all major downtown attractions as well as Ottawa's finest restaurants, coffee shops, museums, and art galleries. <br /><br />Nearby attractions include Parliament Hill, Rideau Center, Rideau Canal, Little Italy, China Town, all of the Museums (Canadian War Museum, National Gallery, Canadian Museum of Nature, Canadian Museum of Science and Technology, Canadian Museum of History, and the Canadian Museum of Space and Aviation), Commissioner's Park, Dows Lake Pavillion, several hiking trails, the waterway (popular for kayaking), and Gatineau.<br /><br />There's also Nordique spa, which is a 20-minute drive in Chelsea, Quebec. It is absolutely beautiful with thermal baths and spas. I'd highly recommend it if you're able to go!","within an hour","100%","100%","f","Centretown West",0,0,"t","t","Rideau-Vanier",NA,45.43219,-75.68591,"Entire apartment","Entire home/apt",3,NA,1,1,"[""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Extra pillows and blankets"", ""Refrigerator"", ""Iron"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Smart lock"", ""Stove"", ""Paid parking off premises"", ""Room-darkening shades""]","$76.00",1,365,"t",7,7,1,"2020-12-21","2021-02-01",100,10,10,10,10,10,10,"t",19,19,0,3.82
"Find sanctuary from the chatter of the city amid the zen heritage hues of this peaceful getaway!<br />Classic meets contemporary in this airy 1 bedroom home, reflecting the elegance of the surrounding historic architecture. Take a scroll down to the Preston Street, pop in for hot yoga, or enjoy a perfectly paired glass of wine at one of our boutique restaurants near by. Located steps from Little Italy and Chinatown<br />Main intersection Preston and Willow<br /><br /><b>The space</b><br />One flight of stairs to enter apartment<br />1 on site parking spot","","within an hour","99%","92%","f","Downtown",67,67,"t","t","Somerset",NA,45.40783,-75.71149,"Entire apartment","Entire home/apt",3,NA,1,1,"[""Essentials"", ""TV"", ""Washer"", ""Dryer"", ""Wifi"", ""Private entrance"", ""Keypad"", ""Heating"", ""Free parking on premises"", ""Long term stays allowed"", ""Shampoo"", ""Smoke alarm"", ""Air conditioning"", ""Kitchen""]","$63.00",4,1125,"t",1,1,0,"2021-01-04","2021-01-04",100,10,6,10,10,10,10,"f",65,58,7,0.73
"This fully renovated bachelor is located in the heart of Ottawa’s lively Byward Market. Find yourself in the center of all the action with various restaurants, bars, shopping, parks and monuments situated within a 5-minute walk. This is the perfect spot for couples looking to explore the city or solo travellers. Equipped with a full kitchen, private bathroom, flatscreen TV and high-speed internet (1GB/s Wi-Fi), this is the ideal place to crash your head for the evening.<br /><br /><b>The space</b><br />FEATURES:<br />- Private bachelor apartment featuring a double bed, fully equipped kitchen, and private bathroom. <br />- Guests have access to the entire apartment for the duration of their stay.<br />- The unit is located within walking distance of Ottawa’s Light Rail Transit (LRT) system and many bus stops.<br />- Bird, Lime and Roll e-scooters available in the summer and fall.<br /><br />AMENITIES:<br />- Flatscreen TV with a Google Chromecast.<br />- High-speed internet (1GB/s Wi-Fi","Everything you need is within a 10-minute walk!<br />-	Rideau Center - Ottawa’s Light Rail Transit (LRT) system (3-minute walk)<br />-	Byward Market Square (4-minute walk)<br />-	Parliament Hill (10-minute walk)<br />-	Shaw Center (10-minute walk)<br />-	Rideau Canal (10-minute walk)<br />-	University of Ottawa (10-minute walk) <br />-	National Arts Center (10-minute walk)<br />-	Major’s Hill Park (5-minute walk)<br />-	Fairmont Château Laurier (5-minute walk)","within an hour","99%","91%","t","Byward Market - Parliament Hill",0,0,"t","t","Rideau-Vanier",NA,45.42702,-75.69119,"Entire apartment","Entire home/apt",2,NA,NA,1,"[""Coffee maker"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Extra pillows and blankets"", ""Keypad"", ""Refrigerator"", ""Iron"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Essentials"", ""Washer"", ""Dryer"", ""Freezer"", ""Baking sheet"", ""Air conditioning"", ""Kitchen"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Paid parking off premises""]","$77.00",1,365,"t",6,6,1,"2020-12-10","2021-01-22",100,10,10,10,10,10,10,"f",9,9,0,2.73
"Newly constructed, 1 bedroom suite with great living spaces.  Overlooking the Parkdale Park and Market this central location located in Ottawa's trendiest neighbourhood will provide you everything you want for your stay!<br /><br /><b>Guest access</b><br />Full access to the apartment and BBQ on the roof terrace.","Hintonburg is a trendy neighbourhood with a lot of great shops and restaurants.  Be sure to check out as much as you can!","within an hour","100%","100%","f","",2,2,"t","t","Kitchissippi",NA,45.40172,-75.73198,"Entire apartment","Entire home/apt",2,NA,1,1,"[""Essentials"", ""TV"", ""Hair dryer"", ""Washer"", ""Dryer"", ""Wifi"", ""Heating"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Long term stays allowed"", ""Hangers"", ""Smart lock"", ""Smoke alarm"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace""]","$95.00",1,1125,"t",1,1,0,"2020-12-22","2020-12-22",100,10,10,10,10,10,10,"f",2,2,0,0.56
"Its a brand new home with 3 bedroom and 2.5 washrooms located near the airport and grocery stores in the Findly creek neighborhood","","within an hour","100%","100%","f","",1,1,"t","t","Osgoode",NA,45.32664,-75.5901,"Entire townhouse","Entire home/apt",4,NA,3,3,"[""Wifi"", ""Microwave"", ""Extra pillows and blankets"", ""Shower gel"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Washer"", ""Dryer"", ""Private entrance"", ""Table corner guards"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Cleaning before checkout"", ""TV"", ""Indoor fireplace"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Dishwasher"", ""Room-darkening shades""]","$150.00",1,1125,"t",0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,"t",1,1,0,NA
"Spacious 6 bedroom Victorian home in Ottawa’s downtown core!<br /><br /><b>The space</b><br />Highlighted features include: <br /><br />-Spacious Victorian home <br />-6 bedrooms, 2 bathrooms <br />-washer and dryer <br />-good for large families or teams <br />-dishwasher <br />-self check in <br />-prime downtown location <br /><br />Available monthly for $4,000 plus Airbnb fees<br /><br /><b>Guest access</b><br />Private unit<br /><br /><b>Other things to note</b><br />This is an older home. Best suited for someone looking for an affordable option in a great location. <br /><br />Street parking is available from 7pm to 7am unlimited then every 3 hours","","within an hour","99%","92%","f","Downtown",67,67,"t","t","Rideau-Vanier",NA,45.43675,-75.67978,"Entire house","Entire home/apt",8,NA,6,6,"[""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Kitchen"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Lockbox"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Dishes and silverware"", ""Smoke alarm"", ""Fire extinguisher"", ""Carbon monoxide alarm""]","$99.00",7,365,"t",0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,"f",65,58,7,NA
"Large 3 bedroom townhouse .<br /><br /><b>The space</b><br />Beautiful and comfy  queen size bed in private bedroom with a closet and a shared full bathroom. Tv including Netflix , also very high speed  internet.<br />The  bedroom have no lock.<br /><br /><b>Guest access</b><br />Gust will have access to them rooms and bathroom and the kitchen.<br /><br /><b>Other things to note</b><br />Gust Not allowed to have friends or family members inside my place for visit, only who have reservation.","Bus stop 2 minutes walk,Neighbors are so quiet and respectful, and they expect the same from visitors.","within an hour","100%","100%","f","",0,0,"t","t","Kanata North",NA,45.35981,-75.9274,"Private room in townhouse","Private room",2,NA,1,1,"[""Essentials"", ""TV"", ""Hair dryer"", ""Washer"", ""Dryer"", ""Wifi"", ""Patio or balcony"", ""Heating"", ""Iron"", ""Free parking on premises"", ""Long term stays allowed"", ""Shampoo"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm""]","$40.00",2,365,"t",5,5,1,"2020-12-17","2021-02-03",84,8,10,10,8,10,8,"t",3,0,3,2.54
"","","within an hour","100%","100%","f","",1,1,"t","t","Rideau-Rockcliffe",NA,45.44333,-75.67855,"Shared room in apartment","Shared room",1,NA,1,1,"[""Wifi"", ""Kitchen"", ""Heating"", ""Free parking on premises"", ""Long term stays allowed"", ""Hot water"", ""Smoke alarm"", ""Fire extinguisher"", ""Carbon monoxide alarm""]","$18.00",1,365,"t",1,1,0,"2021-01-01","2021-01-01",20,2,2,2,6,10,2,"t",3,0,2,0.68
"50 Laurier is located in downtown Ottawa. The building features a steam room, swimming pool, and a fully-equipped fitness center to help you maintain that exercise routine, even when traveling.<br />The apartment has large windows that will illuminate your room with natural lighting, only adding to the spacious and modern aesthetic of it. <br /><br />Pets allowed with extra fee ($)<br />Parking up to availability with a fee ($)<br />13 apartments, similar layout, subject to availability, photos for reference.<br /><br /><b>The space</b><br />IPTV Box with more than 300 channels on request with a fee ($)","","within a few hours","94%","88%","f","Downtown Montreal",272,272,"t","t","Rideau-Vanier",NA,45.42402,-75.68725,"Entire serviced apartment","Entire home/apt",2,NA,1,1,"[""Gym"", ""Essentials"", ""TV"", ""Hair dryer"", ""Washer"", ""Dryer"", ""Wifi"", ""Heating"", ""Iron"", ""Pool"", ""Long term stays allowed"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Kitchen""]","$86.00",30,1125,"t",0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,"f",69,69,0,NA
"Only 7 minutes away from downtown, Parliament, Rideau Canal and the Byward Market and 4 minutes from St. Laurent mall. <br /><br />This luxurious, newly renovated home delivers a unique and memorable stay! With unparalleled comfort in accommodation, including comfortable mattresses, new appliances, 65"" 4K TV and fast Wi-Fi is available. This home can suit young professionals or families that love open-concept spaces. This European Style home is exceptional in every way. Send us your inquiries today!<br /><br /><b>The space</b><br />￫The Bedrooms Feature: <br />•Quality mattress <br />•Comfortable and Soft linen <br />•Air Conditioner <br />•Free High-Speed Wi-Fi <br />•Eye mask  <br />•Earplugs  <br /><br />￫The Eat-In Kitchen includes: <br />•All required pantries to cook <br />•Stainless Steel Appliances, Toaster, Coffee Maker <br />•Complimentary coffee<br /> <br />￫The Living Room: <br />•Sofa bed with a TV and access to WiFi <br />•A large 6 seater solid wood dining table  <br /><","","within an hour","100%","98%","t","Yorkville",3,3,"t","t","Rideau-Rockcliffe",NA,45.42998,-75.6497,"Entire house","Entire home/apt",6,NA,2,2,"[""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Free street parking"", ""Refrigerator"", ""Free parking on premises"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Patio or balcony"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Stove"", ""Oven""]","$133.00",2,1125,"t",11,11,3,"2020-12-09","2021-01-31",98,10,10,10,10,10,10,"t",1,1,0,4.93
